ciclomes,numindice,pa,ppa
1,103.17,0.97,0.03
2,103.68,0.96,0.04
3,104.23,0.96,0.04
4,105.22,0.95,0.05
5,105.85,0.94,0.06
6,105.78,0.95,0.05
7,105.74,0.95,0.05
8,105.97,0.94,0.06
9,106.2,0.94,0.06
10,106.3,0.94,0.06
11,106.83,0.94,0.06
12,107.18,0.93,0.07
13,107.58,0.93,0.07
14,107.72,0.93,0.07
15,107.85,0.93,0.07
16,108.23,0.92,0.08
17,108.72,0.92,0.08
18,109.25,0.92,0.08
19,109.28,0.92,0.08
20,109.27,0.92,0.08
21,109.86,0.91,0.09
22,110.4,0.91,0.09
23,111.3,0.9,0.1
24,111.83,0.89,0.11
25,112.02,0.89,0.11
26,112.32,0.89,0.11
27,113.02,0.88,0.12
28,113.36,0.88,0.12
29,113.52,0.88,0.12
30,113.85,0.88,0.12
31,113.82,0.88,0.12
32,114.33,0.87,0.13
33,114.68,0.87,0.13
34,114.97,0.87,0.13
35,115.2,0.87,0.13
36,115.46,0.87,0.13
37,115.68,0.86,0.14
38,115.94,0.86,0.14
39,116.56,0.86,0.14
40,117.23,0.85,0.15
41,117.72,0.85,0.15
42,117.78,0.85,0.15
43,117.96,0.85,0.15
44,118.19,0.85,0.15
45,118.06,0.85,0.15
46,117.64,0.85,0.15
47,118.01,0.85,0.15
48,118.26,0.85,0.15
49,118.66,0.84,0.16
50,118.9,0.84,0.16
51,119.34,0.84,0.16
52,119.95,0.83,0.17
53,120.03,0.83,0.17
54,119.99,0.83,0.17
55,120.59,0.83,0.17
56,121.16,0.83,0.17
57,121.68,0.82,0.18
58,122.79,0.81,0.19
59,123.05,0.81,0.19
60,123.3,0.81,0.19
61,123.51,0.81,0.19
62,124.08,0.81,0.19
63,124.63,0.8,0.2
64,125.49,0.8,0.2
65,125.72,0.8,0.2
66,125.46,0.8,0.2
67,126.33,0.79,0.21
68,126.82,0.79,0.21
69,126.83,0.79,0.21
70,127.49,0.78,0.22
71,127.92,0.78,0.22
72,128.23,0.78,0.22
73,128.56,0.78,0.22
74,128.96,0.78,0.22
75,130.07,0.77,0.23
76,132.04,0.76,0.24
77,131.65,0.76,0.24
78,130.93,0.76,0.24
79,131.65,0.76,0.24
80,132.77,0.75,0.25
81,134.03,0.75,0.25
82,133.5,0.75,0.25
83,133.23,0.75,0.25
84,133.54,0.75,0.25
85,133.6,0.75,0.25
86,134.23,0.74,0.26
87,135,0.74,0.26
88,135.48,0.74,0.26
89,136.08,0.73,0.27
90,136.89,0.73,0.27
91,137.35,0.73,0.27
92,136.95,0.73,0.27
93,137.13,0.73,0.27
94,138.98,0.72,0.28
95,139.17,0.72,0.28
96,139.11,0.72,0.28
97,139.95,0.71,0.29
98,140.32,0.71,0.29
99,141.48,0.71,0.29
100,141.4,0.71,0.29
101,140.18,0.71,0.29
102,139.36,0.72,0.28
103,140.33,0.71,0.29
104,140.95,0.71,0.29
105,141.8,0.71,0.29
106,141.46,0.71,0.29
107,140.89,0.71,0.29
108,141.57,0.71,0.29
109,142.58,0.7,0.3
110,142.85,0.7,0.3
111,144.86,0.69,0.31
112,145.47,0.69,0.31
113,146.05,0.68,0.32
114,146.28,0.68,0.32
115,147.83,0.68,0.32
116,148.65,0.67,0.33
117,148.64,0.67,0.33
118,148.87,0.67,0.33
119,149.34,0.67,0.33
120,149.84,0.67,0.33
121,150,0.67,0.33
122,150.24,0.67,0.33
123,150.52,0.66,0.34
124,151.02,0.66,0.34
125,151.33,0.66,0.34
126,151.65,0.66,0.34
127,152.2,0.66,0.34
128,152.94,0.65,0.35
